class,Length ,Diameter ,Height ,Whole weigh,Shucked weight,Viscera weight,Shell weight
Male,0.46,0.37,0.1,0.51,0.22,0.1,0.15
Male,0.35,0.27,0.09,0.23,0.1,0.05,0.07
Female,0.53,0.42,0.14,0.68,0.26,0.14,0.21
Male,0.44,0.37,0.13,0.52,0.22,0.11,0.16
Infant,0.33,0.26,0.08,0.21,0.09,0.04,0.06
Infant,0.43,0.3,0.1,0.35,0.14,0.08,0.12
Female,0.53,0.42,0.15,0.78,0.24,0.14,0.33
Female,0.55,0.43,0.13,0.77,0.29,0.15,0.26
Male,0.48,0.37,0.13,0.51,0.22,0.11,0.17
Female,0.55,0.44,0.15,0.89,0.31,0.15,0.32
Female,0.53,0.38,0.14,0.61,0.19,0.15,0.21
Male,0.43,0.35,0.11,0.41,0.17,0.08,0.14
Male,0.49,0.38,0.14,0.54,0.22,0.1,0.19
Female,0.54,0.41,0.15,0.68,0.27,0.17,0.21
Female,0.47,0.36,0.1,0.48,0.17,0.08,0.19
Male,0.5,0.4,0.13,0.66,0.26,0.13,0.24
Infant,0.36,0.28,0.09,0.29,0.1,0.04,0.12
Female,0.44,0.34,0.1,0.45,0.19,0.09,0.13
Male,0.37,0.3,0.08,0.26,0.1,0.04,0.1
Male,0.45,0.32,0.1,0.38,0.17,0.08,0.12
Male,0.36,0.28,0.1,0.25,0.1,0.06,0.08
Infant,0.38,0.28,0.1,0.23,0.08,0.05,0.09
Female,0.57,0.44,0.16,0.94,0.43,0.21,0.27
Female,0.55,0.42,0.14,0.76,0.32,0.21,0.2
Female,0.62,0.48,0.17,1.16,0.51,0.3,0.31
Female,0.56,0.44,0.14,0.93,0.38,0.19,0.3
Female,0.58,0.45,0.19,1,0.39,0.27,0.29
Male,0.59,0.45,0.14,0.93,0.36,0.23,0.28
Male,0.61,0.48,0.18,0.94,0.39,0.22,0.3
Male,0.58,0.43,0.14,0.86,0.39,0.23,0.2
Male,0.58,0.47,0.17,1,0.39,0.24,0.33
Female,0.68,0.56,0.17,1.64,0.61,0.28,0.46
Male,0.67,0.53,0.17,1.34,0.55,0.36,0.35
Female,0.68,0.55,0.18,1.8,0.82,0.39,0.46
Female,0.71,0.55,0.2,1.71,0.63,0.41,0.49
Male,0.47,0.36,0.11,0.48,0.23,0.12,0.13
Female,0.54,0.48,0.16,1.22,0.53,0.31,0.34
Female,0.45,0.36,0.11,0.52,0.24,0.12,0.15
Female,0.58,0.45,0.14,0.88,0.38,0.2,0.26
Male,0.36,0.29,0.09,0.33,0.13,0.09,0.09
Female,0.45,0.34,0.11,0.43,0.19,0.09,0.12
Female,0.55,0.43,0.14,0.85,0.36,0.2,0.27
Infant,0.24,0.18,0.05,0.07,0.03,0.02,0.02
Infant,0.21,0.15,0.06,0.04,0.03,0.02,0.01
Infant,0.21,0.15,0.05,0.04,0.02,0.01,0.02
Infant,0.39,0.3,0.1,0.2,0.09,0.05,0.08
Male,0.47,0.37,0.12,0.58,0.29,0.23,0.14
Female,0.46,0.38,0.12,0.46,0.18,0.11,0.15
Infant,0.33,0.25,0.07,0.16,0.08,0.03,0.05
Female,0.53,0.43,0.16,0.84,0.35,0.21,0.25
Infant,0.52,0.41,0.12,0.6,0.24,0.11,0.19
Male,0.4,0.32,0.1,0.3,0.13,0.06,0.1
Male,0.49,0.36,0.13,0.54,0.26,0.1,0.16
Female,0.47,0.36,0.12,0.48,0.21,0.11,0.15
Male,0.41,0.31,0.1,0.39,0.17,0.09,0.11
Female,0.5,0.4,0.14,0.66,0.26,0.18,0.22
Male,0.45,0.35,0.12,0.44,0.19,0.1,0.14
Male,0.47,0.39,0.14,0.59,0.28,0.12,0.17
Infant,0.25,0.19,0.06,0.09,0.04,0.01,0.03
Female,0.51,0.4,0.13,0.58,0.25,0.13,0.18
Male,0.45,0.35,0.11,0.41,0.18,0.11,0.14
Male,0.51,0.41,0.11,0.63,0.31,0.16,0.18
Female,0.53,0.41,0.13,0.7,0.3,0.19,0.2
Male,0.43,0.33,0.1,0.38,0.17,0.08,0.1
Male,0.52,0.4,0.12,0.58,0.23,0.13,0.19
Male,0.48,0.36,0.12,0.48,0.23,0.1,0.14
Female,0.57,0.44,0.16,0.92,0.35,0.19,0.32
Female,0.6,0.5,0.19,1.29,0.42,0.22,0.49
Female,0.48,0.39,0.12,0.53,0.21,0.12,0.17
Infant,0.31,0.24,0.07,0.15,0.06,0.04,0.05
Male,0.56,0.43,0.13,0.77,0.26,0.17,0.28
